feature,lgb_importance,xgb_importance,cat_importance,mean_importance
target_diff1,8996.2,0.04420588854700327,7.536533185278384,3001.2602463579424
target_lag_std3,8570.0,0.01476796753704548,3.64198344590841,2857.885583804482
target_roll10_mean,8549.0,0.15902794897556305,5.447923931118138,2851.535650626698
target_diff2,8487.0,0.021204470843076705,1.6793088215916305,2829.5668377641446
target_lag1,6839.6,0.09728043377399445,32.47153119425982,2290.7229372093448
target_roll3_mean,6178.6,0.042267446592450145,2.560049646567294,2060.4007723643867
target_ewm3,6086.8,0.1738475441932678,7.067296938010514,2031.3470481607346
target_roll5_mean,5890.6,0.05535317435860634,3.8414709420957314,1964.8322747054851
target_ewm5,4672.8,0.29003708362579345,11.432872230376105,1561.5076364380009
target_lag1_log,2144.2,0.102008056640625,24.321029664793976,722.8743459071447
